Date,Store_Type,District,Time_Slot,SKU_Name,Category,Expiry_Date,Temp,Item_Traffic,Import,Sold,Waste,Cost,Price,Revenue,Op_Cost,Waste_Loss,Net_Profit
2024-01-01,Residential,Q7,11:00-12:00,Fresh Milk,Dairy,2024-01-06,35.5,0.91,0,2,0,48257,65146,130292,37277,0,-3499
2024-01-01,Residential,Q7,12:00-13:00,Fresh Milk,Dairy,2024-01-06,34.3,0.59,0,1,0,36496,49269,49269,34294,0,-21521
2024-01-01,Residential,Q7,13:00-14:00,Fresh Milk,Dairy,2024-01-06,34.6,0.55,0,1,0,57503,77629,77629,36305,0,-16179
2024-01-01,Residential,Q7,14:00-15:00,Fresh Milk,Dairy,2024-01-06,34.2,0.89,0,3,0,74833,101024,303072,36798,0,41774
2024-01-01,Residential,Q7,15:00-16:00,Fresh Milk,Dairy,2024-01-06,33.2,0.63,0,1,0,55539,74977,74977,33647,0,-14209
2024-01-01,Residential,Q7,16:00-17:00,Fresh Milk,Dairy,2024-01-06,30.8,3.24,0,6,0,46222,62399,374394,28675,0,68386
2024-01-01,Residential,Q7,17:00-18:00,Fresh Milk,Dairy,2024-01-06,30.0,3.46,0,10,0,57795,78023,780230,28045,0,174234
2024-01-01,Residential,Q7,18:00-19:00,Fresh Milk,Dairy,2024-01-06,27.6,4.7,0,18,0,50267,67860,1221480,23198,0,293475
2024-01-01,Residential,Q7,19:00-20:00,Fresh Milk,Dairy,2024-01-06,25.8,0.83,0,3,0,52342,70661,211983,20103,0,34853
2024-01-01,Residential,Q7,20:00-21:00,Fresh Milk,Dairy,2024-01-06,24.3,0.7,0,2,0,73542,99281,198562,18887,0,32590
2024-01-01,Residential,Q7,21:00-22:00,Fresh Milk,Dairy,2024-01-06,23.0,0.84,0,1,40,67513,91142,91142,16125,2700520,-2693016
2024-01-01,Transit,Q3,6:00-7:00,Energy Drink,Drink,2024-03-31,28.3,0.65,128,2,0,57138,77136,154272,24939,0,15056
2024-01-01,Transit,Q3,7:00-8:00,Energy Drink,Drink,2024-03-31,29.2,0.85,0,1,0,69687,94077,94077,27438,0,-3048
2024-01-01,Transit,Q3,8:00-9:00,Energy Drink,Drink,2024-03-31,31.0,0.58,0,1,0,80638,108861,108861,31444,0,-3221
2024-01-01,Transit,Q3,9:00-10:00,Energy Drink,Drink,2024-03-31,32.5,0.36,0,1,0,79368,107146,107146,34055,0,-6277
2024-01-01,Transit,Q3,10:00-11:00,Energy Drink,Drink,2024-03-31,34.0,0.38,0,0,0,45944,62024,0,34416,0,-34416
2024-01-01,Transit,Q3,11:00-12:00,Energy Drink,Drink,2024-03-31,35.8,0.33,0,0,0,56030,75640,0,38362,0,-38362
2024-01-01,Transit,Q3,12:00-13:00,Energy Drink,Drink,2024-03-31,35.3,0.98,0,1,0,49527,66861,66861,37006,0,-19672
2024-01-01,Transit,Q3,13:00-14:00,Energy Drink,Drink,2024-03-31,34.5,0.71,0,2,0,46513,62792,125584,35355,0,-2797
2024-01-01,Transit,Q3,14:00-15:00,Energy Drink,Drink,2024-03-31,33.5,0.87,0,2,0,80527,108711,217422,35936,0,20431
2024-01-01,Transit,Q3,15:00-16:00,Energy Drink,Drink,2024-03-31,32.8,0.32,0,1,0,71397,96385,96385,34037,0,-9049
2024-01-01,Transit,Q3,16:00-17:00,Energy Drink,Drink,2024-03-31,31.2,0.91,0,2,0,67006,90458,180916,30850,0,16053
2024-01-01,Transit,Q3,17:00-18:00,Energy Drink,Drink,2024-03-31,29.4,0.35,0,1,0,58677,79213,79213,27027,0,-6491
2024-01-01,Transit,Q3,18:00-19:00,Energy Drink,Drink,2024-03-31,27.5,7.23,0,28,0,77149,104151,2916228,24900,0,731155
2024-01-01,Transit,Q3,19:00-20:00,Energy Drink,Drink,2024-03-31,25.6,8.99,0,35,0,73008,98560,3449600,21190,0,873129
2024-01-01,Transit,Q3,20:00-21:00,Energy Drink,Drink,2024-03-31,24.0,8.83,0,35,0,48874,65979,2309265,16621,0,582053
2024-01-01,Transit,Q3,21:00-22:00,Energy Drink,Drink,2024-03-31,23.9,0.7,0,2,14,70292,94894,189788,17940,984088,-952824
2024-01-01,Transit,Q3,6:00-7:00,Banh Mi Pate,RTE,2024-01-02,28.1,0.65,101,1,0,61647,83223,83223,24895,0,-3319
2024-01-01,Transit,Q3,7:00-8:00,Banh Mi Pate,RTE,2024-01-02,29.9,0.85,0,1,0,37789,51015,51015,26465,0,-13239
2024-01-01,Transit,Q3,8:00-9:00,Banh Mi Pate,RTE,2024-01-02,32.2,0.58,0,2,0,37439,50542,101084,30580,0,-4374
2024-01-01,Transit,Q3,9:00-10:00,Banh Mi Pate,RTE,2024-01-02,33.2,0.36,0,1,0,46229,62409,62409,32996,0,-16816
2024-01-01,Transit,Q3,10:00-11:00,Banh Mi Pate,RTE,2024-01-02,33.6,0.38,0,1,0,82016,110721,110721,36221,0,-7516
2024-01-01,Transit,Q3,11:00-12:00,Banh Mi Pate,RTE,2024-01-02,34.9,0.33,0,1,0,82423,111271,111271,38589,0,-9741
2024-01-01,Transit,Q3,12:00-13:00,Banh Mi Pate,RTE,2024-01-02,34.7,0.98,0,2,0,69077,93253,186506,37295,0,11056
2024-01-01,Transit,Q3,13:00-14:00,Banh Mi Pate,RTE,2024-01-02,35.2,0.71,0,1,0,37236,50268,50268,35966,0,-22934
2024-01-01,Transit,Q3,14:00-15:00,Banh Mi Pate,RTE,2024-01-02,34.1,0.87,0,3,0,67496,91119,273357,36104,0,34764
2024-01-01,Transit,Q3,15:00-16:00,Banh Mi Pate,RTE,2024-01-02,33.0,0.32,0,1,0,59568,80416,80416,33569,0,-12721
2024-01-01,Transit,Q3,16:00-17:00,Banh Mi Pate,RTE,2024-01-02,32.2,0.91,0,3,0,53195,71813,215439,31683,0,24170
2024-01-01,Transit,Q3,17:00-18:00,Banh Mi Pate,RTE,2024-01-02,29.5,0.35,0,0,0,59609,80472,0,27272,0,-27272
2024-01-01,Transit,Q3,18:00-19:00,Banh Mi Pate,RTE,2024-01-02,27.2,5.78,0,11,0,77808,105040,1155440,24406,0,275145
2024-01-01,Transit,Q3,19:00-20:00,Banh Mi Pate,RTE,2024-01-02,25.4,7.2,0,28,0,41994,56691,1587348,18659,0,392856
2024-01-01,Transit,Q3,20:00-21:00,Banh Mi Pate,RTE,2024-01-02,24.0,7.06,0,21,0,61043,82408,1730568,17473,0,431191
2024-01-01,Transit,Q3,21:00-22:00,Banh Mi Pate,RTE,2024-01-02,23.2,0.7,0,2,22,69644,94019,188038,16635,1532168,-1500053
2024-01-02,Premium_Urban,Q1,6:00-7:00,Salmon Fillet,Seafood,2024-01-04,29.1,0.93,92,1,0,36608,49420,49420,24942,0,-12130
2024-01-02,Premium_Urban,Q1,7:00-8:00,Salmon Fillet,Seafood,2024-01-04,30.4,0.55,0,1,0,67279,90826,90826,29429,0,-5882
2024-01-02,Premium_Urban,Q1,8:00-9:00,Salmon Fillet,Seafood,2024-01-04,32.7,1.18,0,3,0,66887,90297,270891,33542,0,36687
2024-01-02,Premium_Urban,Q1,9:00-10:00,Salmon Fillet,Seafood,2024-01-04,32.8,0.87,0,2,0,72044,97259,194518,34083,0,16346
2024-01-02,Premium_Urban,Q1,10:00-11:00,Salmon Fillet,Seafood,2024-01-04,35.3,0.41,0,1,0,60487,81657,81657,37774,0,-16604
2024-01-02,Premium_Urban,Q1,11:00-12:00,Salmon Fillet,Seafood,2024-01-04,34.7,2.95,0,5,0,82920,111942,559710,38264,0,106845
2024-01-02,Premium_Urban,Q1,12:00-13:00,Salmon Fillet,Seafood,2024-01-04,34.6,2.33,0,4,0,66522,89804,359216,36936,0,56191
2024-01-02,Premium_Urban,Q1,13:00-14:00,Salmon Fillet,Seafood,2024-01-04,34.5,2.76,0,5,0,78425,105873,529365,37589,0,99650
2024-01-02,Premium_Urban,Q1,14:00-15:00,Salmon Fillet,Seafood,2024-01-04,33.8,1.15,0,3,0,57204,77225,231675,34844,0,25218
2024-01-02,Premium_Urban,Q1,15:00-16:00,Salmon Fillet,Seafood,2024-01-04,32.9,0.61,0,1,0,35727,48231,48231,31720,0,-19216
2024-01-02,Premium_Urban,Q1,16:00-17:00,Salmon Fillet,Seafood,2024-01-04,32.6,0.99,0,1,0,60497,81670,81670,32914,0,-11741
2024-01-02,Premium_Urban,Q1,17:00-18:00,Salmon Fillet,Seafood,2024-01-04,30.8,1.06,0,3,0,36717,49567,148701,28010,0,10539
2024-01-02,Premium_Urban,Q1,18:00-19:00,Salmon Fillet,Seafood,2024-01-04,29.2,0.64,0,2,0,80263,108355,216710,28178,0,28005
2024-01-02,Premium_Urban,Q1,19:00-20:00,Salmon Fillet,Seafood,2024-01-04,26.7,0.4,0,1,0,40334,54450,54450,20883,0,-6767
2024-01-02,Premium_Urban,Q1,20:00-21:00,Salmon Fillet,Seafood,2024-01-04,25.0,0.97,0,3,0,73272,98917,296751,20129,0,56805
2024-01-02,Premium_Urban,Q1,21:00-22:00,Salmon Fillet,Seafood,2024-01-04,23.6,0.52,0,1,55,57539,77677,77677,16507,3164645,-3161014
2024-01-02,Premium_Urban,Q1,6:00-7:00,Sushi Box,RTE,2024-01-03,28.7,0.93,102,1,0,48078,64905,64905,25025,0,-8198
2024-01-02,Premium_Urban,Q1,7:00-8:00,Sushi Box,RTE,2024-01-03,30.5,0.55,0,2,0,77456,104565,209130,30321,0,23896
2024-01-02,Premium_Urban,Q1,8:00-9:00,Sushi Box,RTE,2024-01-03,31.4,1.18,0,2,0,77661,104842,209684,31956,0,22405
2024-01-02,Premium_Urban,Q1,9:00-10:00,Sushi Box,RTE,2024-01-03,33.5,0.87,0,2,0,57511,77639,155278,34325,0,5930
2024-01-02,Premium_Urban,Q1,10:00-11:00,Sushi Box,RTE,2024-01-03,35.4,0.41,0,1,0,47485,64104,64104,37043,0,-20424
2024-01-02,Premium_Urban,Q1,11:00-12:00,Sushi Box,RTE,2024-01-03,35.8,12.92,0,25,0,38339,51757,1293925,37123,0,298326
2024-01-02,Premium_Urban,Q1,12:00-13:00,Sushi Box,RTE,2024-01-03,36.3,10.19,0,20,0,84741,114400,2288000,41271,0,551908
2024-01-02,Premium_Urban,Q1,13:00-14:00,Sushi Box,RTE,2024-01-03,35.5,12.09,0,24,0,66110,89248,2141952,38527,0,516784
2024-01-02,Premium_Urban,Q1,14:00-15:00,Sushi Box,RTE,2024-01-03,34.1,1.15,0,4,0,83227,112356,449424,37205,0,79310
2024-01-02,Premium_Urban,Q1,15:00-16:00,Sushi Box,RTE,2024-01-03,32.8,0.61,0,1,0,83698,112992,112992,34898,0,-5604
2024-01-02,Premium_Urban,Q1,16:00-17:00,Sushi Box,RTE,2024-01-03,31.1,0.99,0,2,0,67088,90568,181136,30676,0,16283
2024-01-02,Premium_Urban,Q1,17:00-18:00,Sushi Box,RTE,2024-01-03,29.4,1.06,0,3,0,48010,64813,194439,26280,0,24128
2024-01-02,Premium_Urban,Q1,18:00-19:00,Sushi Box,RTE,2024-01-03,29.4,0.64,0,2,0,54810,73993,147986,26756,0,11609
2024-01-02,Premium_Urban,Q1,19:00-20:00,Sushi Box,RTE,2024-01-03,27.3,0.4,0,1,0,46540,62829,62829,22397,0,-6108
2024-01-02,Premium_Urban,Q1,20:00-21:00,Sushi Box,RTE,2024-01-03,25.9,0.97,0,3,0,58733,79289,237867,20731,0,40936
2024-01-02,Premium_Urban,Q1,21:00-22:00,Sushi Box,RTE,2024-01-03,23.9,0.52,0,2,7,55408,74800,149600,16898,387856,-365970
2024-01-02,Residential,Q7,6:00-7:00,Pork Belly,Meat,2024-01-04,27.9,1.14,115,4,0,82897,111910,447640,26022,0,90029
2024-01-02,Residential,Q7,7:00-8:00,Pork Belly,Meat,2024-01-04,30.2,0.39,0,1,0,65497,88420,88420,28944,0,-6021
2024-01-02,Residential,Q7,8:00-9:00,Pork Belly,Meat,2024-01-04,31.8,0.54,0,2,0,41204,55625,111250,30124,0,-1282
2024-01-02,Residential,Q7,9:00-10:00,Pork Belly,Meat,2024-01-04,33.8,1.11,0,2,0,58678,79215,158430,34947,0,6126
2024-01-02,Residential,Q7,10:00-11:00,Pork Belly,Meat,2024-01-04,34.3,1.13,0,4,0,59339,80107,320428,35893,0,47178
2024-01-02,Residential,Q7,11:00-12:00,Pork Belly,Meat,2024-01-04,35.5,0.56,0,2,0,43932,59308,118616,36975,0,-6223
2024-01-02,Residential,Q7,12:00-13:00,Pork Belly,Meat,2024-01-04,34.8,0.4,0,1,0,62431,84281,84281,37010,0,-15160
2024-01-02,Residential,Q7,13:00-14:00,Pork Belly,Meat,2024-01-04,35.1,0.86,0,1,0,40998,55347,55347,36049,0,-21700
2024-01-02,Residential,Q7,14:00-15:00,Pork Belly,Meat,2024-01-04,34.8,0.76,0,1,0,63812,86146,86146,37106,0,-14772
2024-01-02,Residential,Q7,15:00-16:00,Pork Belly,Meat,2024-01-04,33.2,1.17,0,4,0,53108,71695,286780,33477,0,40870
2024-01-02,Residential,Q7,16:00-17:00,Pork Belly,Meat,2024-01-04,31.3,10.93,0,43,0,73547,99288,4269384,31488,0,1075374
2024-01-02,Residential,Q7,17:00-18:00,Pork Belly,Meat,2024-01-04,29.8,11.0,0,33,0,57182,77195,2547435,27642,0,632786
2024-01-02,Residential,Q7,18:00-19:00,Pork Belly,Meat,2024-01-04,27.5,8.42,0,17,0,47329,63894,1086198,22813,0,258791
2024-01-02,Residential,Q7,19:00-20:00,Pork Belly,Meat,2024-01-04,27.6,0.81,0,0,0,40339,54457,0,22503,0,-22503
2024-01-02,Residential,Q7,20:00-21:00,Pork Belly,Meat,2024-01-04,25.2,0.88,0,0,0,82959,111994,0,21167,0,-21167
2024-01-02,Residential,Q7,21:00-22:00,Pork Belly,Meat,2024-01-04,23.9,1.05,0,0,0,69642,94016,0,17894,0,-17894
2024-01-02,Residential,Q7,6:00-7:00,Fresh Milk,Dairy,2024-01-07,28.4,1.14,90,3,0,71114,96003,288009,26097,0,48569
2024-01-02,Residential,Q7,7:00-8:00,Fresh Milk,Dairy,2024-01-07,31.2,0.39,0,1,0,38589,52095,52095,28861,0,-15355
2024-01-02,Residential,Q7,8:00-9:00,Fresh Milk,Dairy,2024-01-07,33.0,0.54,0,2,0,41311,55769,111538,32291,0,-3375
2024-01-02,Residential,Q7,9:00-10:00,Fresh Milk,Dairy,2024-01-07,33.0,1.11,0,3,0,60264,81356,244068,33618,0,29657
2024-01-02,Residential,Q7,10:00-11:00,Fresh Milk,Dairy,2024-01-07,35.4,1.13,0,4,0,38619,52135,208540,36423,0,17640
2024-01-02,Residential,Q7,11:00-12:00,Fresh Milk,Dairy,2024-01-07,35.6,0.56,0,2,0,44140,59589,119178,37169,0,-6271
2024-01-02,Residential,Q7,12:00-13:00,Fresh Milk,Dairy,2024-01-07,35.3,0.4,0,1,0,52314,70623,70623,37201,0,-18892
2024-01-02,Residential,Q7,13:00-14:00,Fresh Milk,Dairy,2024-01-07,35.9,0.86,0,1,0,53138,71736,71736,38339,0,-19741
2024-01-02,Residential,Q7,14:00-15:00,Fresh Milk,Dairy,2024-01-07,34.6,0.76,0,1,0,69583,93937,93937,37150,0,-12796
2024-01-02,Residential,Q7,15:00-16:00,Fresh Milk,Dairy,2024-01-07,32.6,1.17,0,2,0,50714,68463,136926,32229,0,3268
2024-01-02,Residential,Q7,16:00-17:00,Fresh Milk,Dairy,2024-01-07,32.2,4.37,0,13,0,46550,62842,816946,31218,0,180577
2024-01-02,Residential,Q7,17:00-18:00,Fresh Milk,Dairy,2024-01-07,31.1,4.4,0,17,0,79810,107743,1831631,31566,0,443294
2024-01-02,Residential,Q7,18:00-19:00,Fresh Milk,Dairy,2024-01-07,28.7,3.37,0,10,0,66428,89677,896770,26309,0,206180
2024-01-02,Residential,Q7,19:00-20:00,Fresh Milk,Dairy,2024-01-07,25.8,0.81,0,2,0,46298,62502,125004,19680,0,12727
2024-01-02,Residential,Q7,20:00-21:00,Fresh Milk,Dairy,2024-01-07,24.6,0.88,0,3,0,77280,104328,312984,19689,0,61454
2024-01-02,Residential,Q7,21:00-22:00,Fresh Milk,Dairy,2024-01-07,24.3,1.05,0,4,21,70651,95378,381512,18685,1483671,-1403448
2024-01-02,Transit,Q3,6:00-7:00,Energy Drink,Drink,2024-04-01,28.0,0.97,95,3,0,69751,94163,282489,25282,0,47953
2024-01-02,Transit,Q3,7:00-8:00,Energy Drink,Drink,2024-04-01,30.4,0.42,0,0,0,73894,99756,0,29892,0,-29892
2024-01-02,Transit,Q3,8:00-9:00,Energy Drink,Drink,2024-04-01,32.1,0.49,0,1,0,80708,108955,108955,33429,0,-5182
2024-01-02,Transit,Q3,9:00-10:00,Energy Drink,Drink,2024-04-01,32.7,1.13,0,3,0,57212,77236,231708,32864,0,27207
2024-01-02,Transit,Q3,10:00-11:00,Energy Drink,Drink,2024-04-01,34.1,0.68,0,2,0,64461,87022,174044,35892,0,9229
2024-01-02,Transit,Q3,11:00-12:00,Energy Drink,Drink,2024-04-01,35.2,0.68,0,2,0,82330,111145,222290,39123,0,18506
2024-01-02,Transit,Q3,12:00-13:00,Energy Drink,Drink,2024-04-01,34.8,1.19,0,4,0,37718,50919,203676,35280,0,17523
2024-01-02,Transit,Q3,13:00-14:00,Energy Drink,Drink,2024-04-01,35.9,0.79,0,1,0,60787,82062,82062,38875,0,-17600
2024-01-02,Transit,Q3,14:00-15:00,Energy Drink,Drink,2024-04-01,34.9,0.66,0,2,0,53066,71639,143278,36534,0,611
2024-01-02,Transit,Q3,15:00-16:00,Energy Drink,Drink,2024-04-01,32.8,0.98,0,2,0,67322,90884,181768,33752,0,13371
2024-01-02,Transit,Q3,16:00-17:00,Energy Drink,Drink,2024-04-01,31.5,0.51,0,1,0,49902,67367,67367,30193,0,-12728
2024-01-02,Transit,Q3,17:00-18:00,Energy Drink,Drink,2024-04-01,30.4,1.18,0,3,0,46873,63278,189834,28001,0,21213
2024-01-02,Transit,Q3,18:00-19:00,Energy Drink,Drink,2024-04-01,29.4,8.53,0,17,0,70411,95054,1615918,27848,0,391082
2024-01-02,Transit,Q3,19:00-20:00,Energy Drink,Drink,2024-04-01,26.7,6.74,0,20,0,38402,51842,1036840,20748,0,248051
2024-01-02,Transit,Q3,20:00-21:00,Energy Drink,Drink,2024-04-01,24.1,8.24,0,24,0,44086,59516,1428384,16466,0,353853
2024-01-02,Transit,Q3,21:00-22:00,Energy Drink,Drink,2024-04-01,24.4,0.69,0,1,9,42843,57838,57838,16919,385587,-387511
2024-01-02,Transit,Q3,6:00-7:00,Banh Mi Pate,RTE,2024-01-03,29.3,0.97,129,1,0,75875,102431,102431,28051,0,-1495
2024-01-02,Transit,Q3,7:00-8:00,Banh Mi Pate,RTE,2024-01-03,30.6,0.42,0,1,0,41241,55675,55675,27966,0,-13532
2024-01-02,Transit,Q3,8:00-9:00,Banh Mi Pate,RTE,2024-01-03,32.7,0.49,0,1,0,37219,50245,50245,31465,0,-18439
2024-01-02,Transit,Q3,9:00-10:00,Banh Mi Pate,RTE,2024-01-03,33.3,1.13,0,2,0,59944,80924,161848,34136,0,7823
2024-01-02,Transit,Q3,10:00-11:00,Banh Mi Pate,RTE,2024-01-03,34.1,0.68,0,2,0,38533,52019,104038,34077,0,-7105
2024-01-02,Transit,Q3,11:00-12:00,Banh Mi Pate,RTE,2024-01-03,35.6,0.68,0,1,0,62145,83895,83895,38430,0,-16680
2024-01-02,Transit,Q3,12:00-13:00,Banh Mi Pate,RTE,2024-01-03,35.3,1.19,0,4,0,82244,111029,444116,39297,0,75842
